bCls,bC,bCT,negA,npi,tin,tinT,zip,negT,negR,posH,mdH,nrP,_dT
1,43310,CPT,1,1972695690,943404867,1,94115,3,2158.2,42,42,1,1
1,43621,CPT,1,1972695690,943404867,1,94115,3,3011.55,42,42,1,1
1,43752,CPT,1,1558326629,990157698,1,96817,3,62.09,42,42,1,1
1,43752,CPT,1,1548603574,990157698,1,96817,3,62.09,42,42,1,1
1,43752,CPT,1,1336536036,990157698,1,96817,3,62.09,42,42,1,1
1,43762,CPT,1,1356449482,990339203,1,96826,3,244.75,42,42,1,1
1,43832,CPT,1,1275566424,990148164,1,96792,3,1170.9,42,42,1,1
1,43860,CPT,1,1972695690,943404867,1,94115,3,2190.05,42,42,1,1
1,44015,CPT,1,1972695690,943404867,1,94115,3,195.3,42,42,1,1
1,44130,CPT,1,1972695690,943404867,1,94115,3,1730.85,42,42,1,1
1,44141,CPT,1,1033394838,208296241,1,96743,3,1806.07,42,42,1,1
1,44141,CPT,1,1275566424,990148164,1,96792,3,2010.81,42,42,1,1
1,44160,CPT,1,1972695690,943404867,1,94115,3,1662.2,42,42,1,1
1,44186,CPT,1,1033394838,208296241,1,96743,3,645.96,42,42,1,1
1,44206,CPT,1,1972695690,943404867,1,94115,3,2360.15,42,42,1,1
1,44212,CPT,1,1033394838,208296241,1,96743,3,2043.53,42,42,1,1
1,44322,CPT,1,1356449482,990339203,1,96826,3,1146.0,42,42,1,1
1,44322,CPT,1,1033606629,990149797,1,96819,3,541.63,42,42,1,1
1,44382,CPT,1,1033394838,208296241,1,96743,3,348.47,42,42,1,1
1,44388,CPT,1,1033394838,208296241,1,96743,3,372.86,42,42,1,1
1,44950,CPT,1,1275566424,990148164,1,96792,3,711.15,42,42,1,1
1,45100,CPT,1,1033606629,990149797,1,96819,3,196.56,42,42,1,1
1,45112,CPT,1,1275566424,990148164,1,96792,3,2091.52,42,42,1,1
1,45119,CPT,1,1033394838,208296241,1,96743,3,1936.21,42,42,1,1
1,45120,CPT,1,1972695690,943404867,1,94115,3,2089.6,42,42,1,1
1,45130,CPT,1,1275566424,990148164,1,96792,3,1208.55,42,42,1,1
1,45307,CPT,1,1972695690,943404867,1,94115,3,226.75,42,42,1,1
1,45337,CPT,1,1275566424,990148164,1,96792,3,165.54,42,42,1,1
1,45341,CPT,1,1033394838,208296241,1,96743,3,132.42,42,42,1,1
1,45342,CPT,1,1033394838,208296241,1,96743,3,179.28,42,42,1,1
1,45342,CPT,1,1558326629,990157698,1,96817,3,369.69,42,42,1,1
1,45342,CPT,1,1548603574,990157698,1,96817,3,369.69,42,42,1,1
1,45342,CPT,1,1336536036,990157698,1,96817,3,369.69,42,42,1,1
1,45378,CPT,1,1033394838,208296241,1,96743,3,398.62,42,42,1,1
1,45392,CPT,1,1275566424,990148164,1,96792,3,442.92,42,42,1,1
1,45990,CPT,1,1275566424,990148164,1,96792,3,120.88,42,42,1,1
1,46083,CPT,1,1972695690,943404867,1,94115,3,197.05,42,42,1,1
1,46220,CPT,1,1972695690,943404867,1,94115,3,239.75,42,42,1,1
1,46250,CPT,1,1033394838,208296241,1,96743,3,485.22,42,42,1,1
1,46255,CPT,1,1972695690,943404867,1,94115,3,587.65,42,42,1,1
1,46285,CPT,1,1972695690,943404867,1,94115,3,609.2,42,42,1,1
1,46288,CPT,1,1033394838,208296241,1,96743,3,558.15,42,42,1,1
1,46320,CPT,1,1033394838,208296241,1,96743,3,192.69,42,42,1,1
1,46610,CPT,1,1275566424,990148164,1,96792,3,269.8,42,42,1,1
1,46615,CPT,1,1033394838,208296241,1,96743,3,149.15,42,42,1,1
1,46910,CPT,1,1033394838,208296241,1,96743,3,272.7,42,42,1,1
1,46917,CPT,1,1275566424,990148164,1,96792,3,565.18,42,42,1,1
1,46924,CPT,1,1972695690,943404867,1,94115,3,658.65,42,42,1,1
1,47380,CPT,1,1972695690,943404867,1,94115,3,1933.6,42,42,1,1
1,47532,CPT,1,1558326629,990157698,1,96817,3,937.03,42,42,1,1
1,47532,CPT,1,1548603574,990157698,1,96817,3,937.03,42,42,1,1
1,47532,CPT,1,1336536036,990157698,1,96817,3,937.03,42,42,1,1
1,47535,CPT,1,1558326629,990157698,1,96817,3,1271.13,42,42,1,1
1,47535,CPT,1,1548603574,990157698,1,96817,3,1271.13,42,42,1,1
